"","year","month","value","units","date"
"261",1993,10,242.214233401672,"Terawatthours",1993.75
"262",1993,9,255.24530965337,"Terawatthours",1993.66666666667
"263",1993,8,301.08492669942,"Terawatthours",1993.58333333333
"264",1993,7,301.833791013945,"Terawatthours",1993.5
"265",1993,6,266.195454823712,"Terawatthours",1993.41666666667
"266",1993,5,236.194269935581,"Terawatthours",1993.33333333333
"267",1993,4,226.88432172575,"Terawatthours",1993.25
"268",1993,3,252.553063920873,"Terawatthours",1993.16666666667
"269",1993,2,239.761217841006,"Terawatthours",1993.08333333333
"270",1993,1,262.001151492894,"Terawatthours",1993
"271",1992,12,258.445450400442,"Terawatthours",1992.91666666667
"272",1992,11,236.036130116661,"Terawatthours",1992.83333333333
"273",1992,10,236.840369082543,"Terawatthours",1992.75
"274",1992,9,251.274562106766,"Terawatthours",1992.66666666667
"275",1992,8,272.544703203122,"Terawatthours",1992.58333333333
"276",1992,7,283.84499025686,"Terawatthours",1992.5
"277",1992,6,252.388117430976,"Terawatthours",1992.41666666667
"278",1992,5,234.344302608854,"Terawatthours",1992.33333333333
"279",1992,4,225.63767524782,"Terawatthours",1992.25
"280",1992,3,239.488443474285,"Terawatthours",1992.16666666667
"281",1992,2,231.542849491014,"Terawatthours",1992.08333333333
"282",1992,1,258.861022749923,"Terawatthours",1992
"283",1991,12,245.63239933153,"Terawatthours",1991.91666666667
"284",1991,11,233.618718829829,"Terawatthours",1991.83333333333
"285",1991,10,237.211895764785,"Terawatthours",1991.75
"286",1991,9,247.506573310899,"Terawatthours",1991.66666666667
"287",1991,8,282.435353929007,"Terawatthours",1991.58333333333
"288",1991,7,284.841763949583,"Terawatthours",1991.5
"289",1991,6,260.143457178365,"Terawatthours",1991.41666666667
"290",1991,5,246.39067949257,"Terawatthours",1991.33333333333
"291",1991,4,220.217674247488,"Terawatthours",1991.25
"292",1991,3,232.55518349847,"Terawatthours",1991.16666666667
"293",1991,2,220.692488125745,"Terawatthours",1991.08333333333
"294",1991,1,260.254686940598,"Terawatthours",1991
"295",1990,12,247.257649844098,"Terawatthours",1990.91666666667
"296",1990,11,223.546481473794,"Terawatthours",1990.83333333333
"297",1990,10,236.239383827707,"Terawatthours",1990.75
"298",1990,9,249.75835657069,"Terawatthours",1990.66666666667
"299",1990,8,280.982064421974,"Terawatthours",1990.58333333333
"300",1990,7,277.881314991917,"Terawatthours",1990.5
"301",1990,6,260.040022074289,"Terawatthours",1990.41666666667
"302",1990,5,233.72714993953,"Terawatthours",1990.33333333333
"303",1990,4,222.122842216088,"Terawatthours",1990.25
"304",1990,3,236.615662902297,"Terawatthours",1990.16666666667
"305",1990,2,221.861322396096,"Terawatthours",1990.08333333333
"306",1990,1,246.694232270105,"Terawatthours",1990
"307",1989,12,265.31455887988,"Terawatthours",1989.91666666667
"308",1989,11,226.453825162871,"Terawatthours",1989.83333333333
"309",1989,10,227.825801004823,"Terawatthours",1989.75
"310",1989,9,234.713463728835,"Terawatthours",1989.66666666667
"311",1989,8,266.253379680727,"Terawatthours",1989.58333333333
"312",1989,7,264.356885118177,"Terawatthours",1989.5
"313",1989,6,242.568360102248,"Terawatthours",1989.41666666667
"314",1989,5,227.009650123052,"Terawatthours",1989.33333333333
"315",1989,4,215.451375641843,"Terawatthours",1989.25
"316",1989,3,233.894277348291,"Terawatthours",1989.16666666667
"317",1989,2,226.002335322486,"Terawatthours",1989.08333333333
"318",1989,1,238.553638425638,"Terawatthours",1989
"319",1988,12,225.233660028224,"Terawatthours",1988.91666666667
"320",1988,11,202.832213673587,"Terawatthours",1988.83333333333
"321",1988,10,203.797862869966,"Terawatthours",1988.75
"322",1988,9,213.057445968136,"Terawatthours",1988.66666666667
"323",1988,8,259.011756531867,"Terawatthours",1988.58333333333
"324",1988,7,249.164300760188,"Terawatthours",1988.5
"325",1988,6,225.309271015833,"Terawatthours",1988.41666666667
"326",1988,5,201.757813383401,"Terawatthours",1988.33333333333
"327",1988,4,189.764216476294,"Terawatthours",1988.25
"328",1988,3,207.161785210112,"Terawatthours",1988.16666666667
"329",1988,2,209.955090817231,"Terawatthours",1988.08333333333
"330",1988,1,230.261369214575,"Terawatthours",1988
"331",1987,12,213.390123099671,"Terawatthours",1987.91666666667
"332",1987,11,193.807302665491,"Terawatthours",1987.83333333333
"333",1987,10,196.451800195621,"Terawatthours",1987.75
"334",1987,9,206.125108242585,"Terawatthours",1987.66666666667
"335",1987,8,239.631128350882,"Terawatthours",1987.58333333333
"336",1987,7,239.936090605236,"Terawatthours",1987.5
"337",1987,6,218.389553811458,"Terawatthours",1987.41666666667
"338",1987,5,199.537523906748,"Terawatthours",1987.33333333333
"339",1987,4,183.476002890063,"Terawatthours",1987.25
"340",1987,3,195.402929030154,"Terawatthours",1987.16666666667
"341",1987,2,187.814840431603,"Terawatthours",1987.08333333333
"342",1987,1,215.618027424681,"Terawatthours",1987
"343",1986,12,206.671587926764,"Terawatthours",1986.91666666667
"344",1986,11,190.108924430198,"Terawatthours",1986.83333333333
"345",1986,10,191.371546912184,"Terawatthours",1986.75
"346",1986,9,200.019165723807,"Terawatthours",1986.66666666667
