"","series_id","units","value","date","year","month","change_first_order","change_second_order"
"130","TOTAL.OGNRPUS.M","Number of Rigs",2382,1983-10-01,1983,10,0.0577,0.296629213483146
"131","TOTAL.OGNRPUS.M","Number of Rigs",2572,1983-11-01,1983,11,0.0798,0.383015597920277
"132","TOTAL.OGNRPUS.M","Number of Rigs",2780,1983-12-01,1983,12,0.0809,0.0137844611528823
"133","TOTAL.OGNRPUS.M","Number of Rigs",2666,1984-01-01,1984,1,-0.041,-1.50679851668727
"134","TOTAL.OGNRPUS.M","Number of Rigs",2423,1984-02-01,1984,2,-0.0911,1.2219512195122
"135","TOTAL.OGNRPUS.M","Number of Rigs",2245,1984-03-01,1984,3,-0.0735,-0.193194291986828
"136","TOTAL.OGNRPUS.M","Number of Rigs",2120,1984-04-01,1984,4,-0.0557,-0.242176870748299
"137","TOTAL.OGNRPUS.M","Number of Rigs",2277,1984-05-01,1984,5,0.0741,-2.33034111310592
"138","TOTAL.OGNRPUS.M","Number of Rigs",2363,1984-06-01,1984,6,0.0378,-0.489878542510121
"139","TOTAL.OGNRPUS.M","Number of Rigs",2386,1984-07-01,1984,7,0.0097,-0.743386243386243
"140","TOTAL.OGNRPUS.M","Number of Rigs",2417,1984-08-01,1984,8,0.013,0.34020618556701
"141","TOTAL.OGNRPUS.M","Number of Rigs",2420,1984-09-01,1984,9,0.0012,-0.907692307692308
"142","TOTAL.OGNRPUS.M","Number of Rigs",2492,1984-10-01,1984,10,0.0298,23.8333333333333
"143","TOTAL.OGNRPUS.M","Number of Rigs",2629,1984-11-01,1984,11,0.055,0.845637583892617
"144","TOTAL.OGNRPUS.M","Number of Rigs",2713,1984-12-01,1984,12,0.032,-0.418181818181818
"145","TOTAL.OGNRPUS.M","Number of Rigs",2452,1985-01-01,1985,1,-0.0962,-4.00625
"146","TOTAL.OGNRPUS.M","Number of Rigs",2188,1985-02-01,1985,2,-0.1077,0.11954261954262
"147","TOTAL.OGNRPUS.M","Number of Rigs",1955,1985-03-01,1985,3,-0.1065,-0.0111420612813371
"148","TOTAL.OGNRPUS.M","Number of Rigs",1877,1985-04-01,1985,4,-0.0399,-0.625352112676056
"149","TOTAL.OGNRPUS.M","Number of Rigs",1865,1985-05-01,1985,5,-0.0064,-0.839598997493734
"150","TOTAL.OGNRPUS.M","Number of Rigs",1856,1985-06-01,1985,6,-0.0048,-0.25
"151","TOTAL.OGNRPUS.M","Number of Rigs",1909,1985-07-01,1985,7,0.0286,-6.95833333333333
"152","TOTAL.OGNRPUS.M","Number of Rigs",1931,1985-08-01,1985,8,0.0115,-0.597902097902098
"153","TOTAL.OGNRPUS.M","Number of Rigs",1930,1985-09-01,1985,9,-5e-04,-1.04347826086957
"154","TOTAL.OGNRPUS.M","Number of Rigs",1879,1985-10-01,1985,10,-0.0264,51.8
"155","TOTAL.OGNRPUS.M","Number of Rigs",1912,1985-11-01,1985,11,0.0176,-1.66666666666667
"156","TOTAL.OGNRPUS.M","Number of Rigs",1950,1985-12-01,1985,12,0.0199,0.130681818181818
"157","TOTAL.OGNRPUS.M","Number of Rigs",1810,1986-01-01,1986,1,-0.0718,-4.60804020100502
"158","TOTAL.OGNRPUS.M","Number of Rigs",1444,1986-02-01,1986,2,-0.2022,1.81615598885794
"159","TOTAL.OGNRPUS.M","Number of Rigs",1139,1986-03-01,1986,3,-0.2112,0.0445103857566766
"160","TOTAL.OGNRPUS.M","Number of Rigs",906,1986-04-01,1986,4,-0.2046,-0.03125
"161","TOTAL.OGNRPUS.M","Number of Rigs",781,1986-05-01,1986,5,-0.138,-0.325513196480938
"162","TOTAL.OGNRPUS.M","Number of Rigs",705,1986-06-01,1986,6,-0.0973,-0.294927536231884
"163","TOTAL.OGNRPUS.M","Number of Rigs",686,1986-07-01,1986,7,-0.027,-0.722507708119219
"164","TOTAL.OGNRPUS.M","Number of Rigs",730,1986-08-01,1986,8,0.0641,-3.37407407407407
"165","TOTAL.OGNRPUS.M","Number of Rigs",755,1986-09-01,1986,9,0.0342,-0.466458658346334
"166","TOTAL.OGNRPUS.M","Number of Rigs",819,1986-10-01,1986,10,0.0848,1.47953216374269
"167","TOTAL.OGNRPUS.M","Number of Rigs",899,1986-11-01,1986,11,0.0977,0.152122641509434
"168","TOTAL.OGNRPUS.M","Number of Rigs",963,1986-12-01,1986,12,0.0712,-0.271238485158649
"169","TOTAL.OGNRPUS.M","Number of Rigs",900,1987-01-01,1987,1,-0.0654,-1.9185393258427
"170","TOTAL.OGNRPUS.M","Number of Rigs",818,1987-02-01,1987,2,-0.0911,0.392966360856269
"171","TOTAL.OGNRPUS.M","Number of Rigs",772,1987-03-01,1987,3,-0.0562,-0.383095499451153
"172","TOTAL.OGNRPUS.M","Number of Rigs",754,1987-04-01,1987,4,-0.0233,-0.585409252669039
"173","TOTAL.OGNRPUS.M","Number of Rigs",763,1987-05-01,1987,5,0.0119,-1.51072961373391
"174","TOTAL.OGNRPUS.M","Number of Rigs",788,1987-06-01,1987,6,0.0328,1.7563025210084
"175","TOTAL.OGNRPUS.M","Number of Rigs",901,1987-07-01,1987,7,0.1434,3.37195121951219
"176","TOTAL.OGNRPUS.M","Number of Rigs",1003,1987-08-01,1987,8,0.1132,-0.210599721059972
"177","TOTAL.OGNRPUS.M","Number of Rigs",1101,1987-09-01,1987,9,0.0977,-0.136925795053004
"178","TOTAL.OGNRPUS.M","Number of Rigs",1124,1987-10-01,1987,10,0.0209,-0.786079836233367
"179","TOTAL.OGNRPUS.M","Number of Rigs",1152,1987-11-01,1987,11,0.0249,0.191387559808612
"180","TOTAL.OGNRPUS.M","Number of Rigs",1162,1987-12-01,1987,12,0.0087,-0.650602409638554
"181","TOTAL.OGNRPUS.M","Number of Rigs",1076,1988-01-01,1988,1,-0.074,-9.50574712643678
"182","TOTAL.OGNRPUS.M","Number of Rigs",976,1988-02-01,1988,2,-0.0929,0.255405405405405
"183","TOTAL.OGNRPUS.M","Number of Rigs",951,1988-03-01,1988,3,-0.0256,-0.72443487621098
"184","TOTAL.OGNRPUS.M","Number of Rigs",917,1988-04-01,1988,4,-0.0358,0.3984375
"185","TOTAL.OGNRPUS.M","Number of Rigs",891,1988-05-01,1988,5,-0.0284,-0.206703910614525
"186","TOTAL.OGNRPUS.M","Number of Rigs",897,1988-06-01,1988,6,0.0067,-1.23591549295775
"187","TOTAL.OGNRPUS.M","Number of Rigs",912,1988-07-01,1988,7,0.0167,1.49253731343284
"188","TOTAL.OGNRPUS.M","Number of Rigs",930,1988-08-01,1988,8,0.0197,0.179640718562874
"189","TOTAL.OGNRPUS.M","Number of Rigs",927,1988-09-01,1988,9,-0.0032,-1.16243654822335
"190","TOTAL.OGNRPUS.M","Number of Rigs",923,1988-10-01,1988,10,-0.0043,0.34375
"191","TOTAL.OGNRPUS.M","Number of Rigs",918,1988-11-01,1988,11,-0.0054,0.255813953488372
"192","TOTAL.OGNRPUS.M","Number of Rigs",924,1988-12-01,1988,12,0.0065,-2.2037037037037
"193","TOTAL.OGNRPUS.M","Number of Rigs",841,1989-01-01,1989,1,-0.0898,-14.8153846153846
"194","TOTAL.OGNRPUS.M","Number of Rigs",762,1989-02-01,1989,2,-0.0939,0.0456570155902004
"195","TOTAL.OGNRPUS.M","Number of Rigs",753,1989-03-01,1989,3,-0.0118,-0.87433439829606
"196","TOTAL.OGNRPUS.M","Number of Rigs",771,1989-04-01,1989,4,0.0239,-3.02542372881356
"197","TOTAL.OGNRPUS.M","Number of Rigs",754,1989-05-01,1989,5,-0.022,-1.92050209205021
"198","TOTAL.OGNRPUS.M","Number of Rigs",795,1989-06-01,1989,6,0.0544,-3.47272727272727
"199","TOTAL.OGNRPUS.M","Number of Rigs",832,1989-07-01,1989,7,0.0465,-0.145220588235294
"200","TOTAL.OGNRPUS.M","Number of Rigs",886,1989-08-01,1989,8,0.0649,0.395698924731183
"201","TOTAL.OGNRPUS.M","Number of Rigs",955,1989-09-01,1989,9,0.0779,0.200308166409861
"202","TOTAL.OGNRPUS.M","Number of Rigs",984,1989-10-01,1989,10,0.0304,-0.609756097560976
"203","TOTAL.OGNRPUS.M","Number of Rigs",1041,1989-11-01,1989,11,0.0579,0.904605263157895
"204","TOTAL.OGNRPUS.M","Number of Rigs",1065,1989-12-01,1989,12,0.0231,-0.601036269430052
"205","TOTAL.OGNRPUS.M","Number of Rigs",998,1990-01-01,1990,1,-0.0629,-3.72294372294372
"206","TOTAL.OGNRPUS.M","Number of Rigs",911,1990-02-01,1990,2,-0.0872,0.386327503974563
"207","TOTAL.OGNRPUS.M","Number of Rigs",905,1990-03-01,1990,3,-0.0066,-0.924311926605505
"208","TOTAL.OGNRPUS.M","Number of Rigs",935,1990-04-01,1990,4,0.0331,-6.01515151515151
"209","TOTAL.OGNRPUS.M","Number of Rigs",961,1990-05-01,1990,5,0.0278,-0.16012084592145
"210","TOTAL.OGNRPUS.M","Number of Rigs",999,1990-06-01,1990,6,0.0395,0.420863309352518
"211","TOTAL.OGNRPUS.M","Number of Rigs",1010,1990-07-01,1990,7,0.011,-0.721518987341772
"212","TOTAL.OGNRPUS.M","Number of Rigs",987,1990-08-01,1990,8,-0.0228,-3.07272727272727
"213","TOTAL.OGNRPUS.M","Number of Rigs",1042,1990-09-01,1990,9,0.0557,-3.44298245614035
"214","TOTAL.OGNRPUS.M","Number of Rigs",1073,1990-10-01,1990,10,0.0298,-0.464991023339318
"215","TOTAL.OGNRPUS.M","Number of Rigs",1137,1990-11-01,1990,11,0.0596,1
"216","TOTAL.OGNRPUS.M","Number of Rigs",1136,1990-12-01,1990,12,-9e-04,-1.01510067114094
"217","TOTAL.OGNRPUS.M","Number of Rigs",1068,1991-01-01,1991,1,-0.0599,65.5555555555556
"218","TOTAL.OGNRPUS.M","Number of Rigs",984,1991-02-01,1991,2,-0.0787,0.313856427378965
"219","TOTAL.OGNRPUS.M","Number of Rigs",929,1991-03-01,1991,3,-0.0559,-0.289707750952986
"220","TOTAL.OGNRPUS.M","Number of Rigs",865,1991-04-01,1991,4,-0.0689,0.232558139534884
"221","TOTAL.OGNRPUS.M","Number of Rigs",819,1991-05-01,1991,5,-0.0532,-0.227866473149492
"222","TOTAL.OGNRPUS.M","Number of Rigs",867,1991-06-01,1991,6,0.0586,-2.1015037593985
"223","TOTAL.OGNRPUS.M","Number of Rigs",844,1991-07-01,1991,7,-0.0265,-1.45221843003413
