"","year","month","value","units","date"
"296",1990,11,223.613494842251,"Terawatthours",1990.83333333333
"297",1990,10,236.310202195181,"Terawatthours",1990.75
"298",1990,9,249.833227571404,"Terawatthours",1990.66666666667
"299",1990,8,281.066295470876,"Terawatthours",1990.58333333333
"300",1990,7,277.964616517515,"Terawatthours",1990.5
"301",1990,6,260.117975248492,"Terawatthours",1990.41666666667
"302",1990,5,233.797215205215,"Terawatthours",1990.33333333333
"303",1990,4,222.189428814858,"Terawatthours",1990.25
"304",1990,3,236.686594068363,"Terawatthours",1990.16666666667
"305",1990,2,221.927830598086,"Terawatthours",1990.08333333333
"306",1990,1,246.768184726768,"Terawatthours",1990
"307",1989,12,265.394093221794,"Terawatthours",1989.91666666667
"308",1989,11,226.521710076667,"Terawatthours",1989.83333333333
"309",1989,10,227.89409720097,"Terawatthours",1989.75
"310",1989,9,234.783824665509,"Terawatthours",1989.66666666667
"311",1989,8,266.333195456479,"Terawatthours",1989.58333333333
"312",1989,7,264.436132374631,"Terawatthours",1989.5
"313",1989,6,242.641075730714,"Terawatthours",1989.41666666667
"314",1989,5,227.077701658584,"Terawatthours",1989.33333333333
"315",1989,4,215.515962310018,"Terawatthours",1989.25
"316",1989,3,233.964392714387,"Terawatthours",1989.16666666667
"317",1989,2,226.070084891476,"Terawatthours",1989.08333333333
"318",1989,1,238.625150545906,"Terawatthours",1989
"319",1988,12,225.301179168535,"Terawatthours",1988.91666666667
"320",1988,11,202.893017448177,"Terawatthours",1988.83333333333
"321",1988,10,203.858956120843,"Terawatthours",1988.75
"322",1988,9,213.12131499902,"Terawatthours",1988.66666666667
"323",1988,8,259.089401459046,"Terawatthours",1988.58333333333
"324",1988,7,249.238993678561,"Terawatthours",1988.5
"325",1988,6,225.376812822333,"Terawatthours",1988.41666666667
"326",1988,5,201.81829508098,"Terawatthours",1988.33333333333
"327",1988,4,189.821102808277,"Terawatthours",1988.25
"328",1988,3,207.223886876625,"Terawatthours",1988.16666666667
"329",1988,2,210.018029843458,"Terawatthours",1988.08333333333
"330",1988,1,230.330395530154,"Terawatthours",1988
"331",1987,12,213.454091858428,"Terawatthours",1987.91666666667
"332",1987,11,193.865401008608,"Terawatthours",1987.83333333333
"333",1987,10,196.510691289696,"Terawatthours",1987.75
"334",1987,9,206.186899140549,"Terawatthours",1987.66666666667
"335",1987,8,239.702963474352,"Terawatthours",1987.58333333333
"336",1987,7,240.008017148387,"Terawatthours",1987.5
"337",1987,6,218.455021268339,"Terawatthours",1987.41666666667
"338",1987,5,199.597340019811,"Terawatthours",1987.33333333333
"339",1987,4,183.531004180639,"Terawatthours",1987.25
"340",1987,3,195.46150570018,"Terawatthours",1987.16666666667
"341",1987,2,187.871142391807,"Terawatthours",1987.08333333333
"342",1987,1,215.682664050687,"Terawatthours",1987
"343",1986,12,206.733542644996,"Terawatthours",1986.91666666667
"344",1986,11,190.165914096579,"Terawatthours",1986.83333333333
"345",1986,10,191.428915079649,"Terawatthours",1986.75
"346",1986,9,200.079126220446,"Terawatthours",1986.66666666667
"347",1986,8,217.96626196471,"Terawatthours",1986.58333333333
"348",1986,7,234.938308245546,"Terawatthours",1986.5
"349",1986,6,208.230099546445,"Terawatthours",1986.41666666667
"350",1986,5,191.126939395744,"Terawatthours",1986.33333333333
"351",1986,4,180.221934642529,"Terawatthours",1986.25
"352",1986,3,190.611578637358,"Terawatthours",1986.16666666667
"353",1986,2,186.228571943482,"Terawatthours",1986.08333333333
"354",1986,1,210.577011417673,"Terawatthours",1986
"355",1985,12,212.249247772756,"Terawatthours",1985.91666666667
"356",1985,11,186.293299668067,"Terawatthours",1985.83333333333
"357",1985,10,188.562159395608,"Terawatthours",1985.75
"358",1985,9,196.0247672569,"Terawatthours",1985.66666666667
"359",1985,8,218.821065176587,"Terawatthours",1985.58333333333
"360",1985,7,219.514715346308,"Terawatthours",1985.5
"361",1985,6,198.896348316609,"Terawatthours",1985.41666666667
"362",1985,5,190.619593209208,"Terawatthours",1985.33333333333
"363",1985,4,179.064287372529,"Terawatthours",1985.25
"364",1985,3,188.808912087881,"Terawatthours",1985.16666666667
"365",1985,2,191.940193125396,"Terawatthours",1985.08333333333
"366",1985,1,220.621095659117,"Terawatthours",1985
"367",1984,12,193.626135868197,"Terawatthours",1984.91666666667
"368",1984,11,184.313747804543,"Terawatthours",1984.83333333333
"369",1984,10,184.836479106684,"Terawatthours",1984.75
"370",1984,9,188.96460056132,"Terawatthours",1984.66666666667
"371",1984,8,221.959221649172,"Terawatthours",1984.58333333333
"372",1984,7,214.217826016426,"Terawatthours",1984.5
"373",1984,6,203.040314216197,"Terawatthours",1984.41666666667
"374",1984,5,186.19780364629,"Terawatthours",1984.33333333333
"375",1984,4,175.397221376332,"Terawatthours",1984.25
"376",1984,3,193.776522230457,"Terawatthours",1984.16666666667
"377",1984,2,183.548048683949,"Terawatthours",1984.08333333333
"378",1984,1,209.767231184894,"Terawatthours",1984
"379",1983,12,205.542952274221,"Terawatthours",1983.91666666667
"380",1983,11,177.127724867857,"Terawatthours",1983.83333333333
"381",1983,10,177.09487556697,"Terawatthours",1983.75
"382",1983,9,189.356844615527,"Terawatthours",1983.66666666667
"383",1983,8,222.599182503776,"Terawatthours",1983.58333333333
"384",1983,7,213.174107896654,"Terawatthours",1983.5
"385",1983,6,185.053839555788,"Terawatthours",1983.41666666667
"386",1983,5,168.960493216989,"Terawatthours",1983.33333333333
"387",1983,4,165.038365018877,"Terawatthours",1983.25
"388",1983,3,176.739026836209,"Terawatthours",1983.16666666667
"389",1983,2,167.026839475845,"Terawatthours",1983.08333333333
"390",1983,1,189.408898718168,"Terawatthours",1983
"391",1982,12,178.856023578515,"Terawatthours",1982.91666666667
"392",1982,11,167.871588693571,"Terawatthours",1982.83333333333
